Data as of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,HRR Name,HRR Number,State,Total Deaths,COVID-19 Deaths,Total Deaths over 65 years,COVID-19 Deaths over 65 years,Total Deaths 65 to 74 years,COVID-19 Deaths 65 to 74 years,Total Deaths 75 to 84 years,COVID-19 Deaths 75 to 84 years,Total Deaths over 85 years,COVID-19 Deaths over 85 years,Footnote,Accuracy_index
22/08/2021,04/01/2015,10/01/2015,2015,1,10/01/2015,AK- ANCHORAGE,10,AK,15.19533785,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.924372493
22/08/2021,11/01/2015,17/01/2015,2015,2,17/01/2015,AK- ANCHORAGE,10,AK,16.11030637,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.910783956
22/08/2021,18/01/2015,24/01/2015,2015,3,24/01/2015,AK- ANCHORAGE,10,AK,21.45286956,0,13.26172611,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.885820247
22/08/2021,25/01/2015,31/01/2015,2015,4,31/01/2015,AK- ANCHORAGE,10,AK,19.60280388,0,11.04011371,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.894083756
22/08/2021,01/02/2015,07/02/2015,2015,5,07/02/2015,AK- ANCHORAGE,10,AK,16.85918103,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.901539077
22/08/2021,08/02/2015,14/02/2015,2015,6,14/02/2015,AK- ANCHORAGE,10,AK,19.73175206,0,11.85663819,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.914710848
22/08/2021,15/02/2015,21/02/2015,2015,7,21/02/2015,AK- ANCHORAGE,10,AK,19.85941194,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.868069684
22/08/2021,22/02/2015,28/02/2015,2015,8,28/02/2015,AK- ANCHORAGE,10,AK,22.72810959,0,15.27288023,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.922397079
22/08/2021,01/03/2015,07/03/2015,2015,9,07/03/2015,AK- ANCHORAGE,10,AK,18.88668053,0,12.16504067,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.832309488
22/08/2021,08/03/2015,14/03/2015,2015,10,14/03/2015,AK- ANCHORAGE,10,AK,19.39261592,0,10.07344512,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.875945995
22/08/2021,15/03/2015,21/03/2015,2015,11,21/03/2015,AK- ANCHORAGE,10,AK,15.96383008,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.858516455
22/08/2021,22/03/2015,28/03/2015,2015,12,28/03/2015,AK- ANCHORAGE,10,AK,16.53142428,0,10.2662866,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.951211648
22/08/2021,29/03/2015,04/04/2015,2015,13,04/04/2015,AK- ANCHORAGE,10,AK,19.21078353,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.908611424
22/08/2021,05/04/2015,11/04/2015,2015,14,11/04/2015,AK- ANCHORAGE,10,AK,17.61580106,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.895721251
22/08/2021,12/04/2015,18/04/2015,2015,15,18/04/2015,AK- ANCHORAGE,10,AK,19.2648772,0,10.67012986,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.879551864
22/08/2021,19/04/2015,25/04/2015,2015,16,25/04/2015,AK- ANCHORAGE,10,AK,19.47653369,0,11.38951834,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.868983472
22/08/2021,26/04/2015,02/05/2015,2015,17,02/05/2015,AK- ANCHORAGE,10,AK,17.7696341,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.933959515
22/08/2021,03/05/2015,09/05/2015,2015,18,09/05/2015,AK- ANCHORAGE,10,AK,16.92221404,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.887066321
22/08/2021,10/05/2015,16/05/2015,2015,19,16/05/2015,AK- ANCHORAGE,10,AK,27.54247421,0,14.91859268,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.90519141
22/08/2021,17/05/2015,23/05/2015,2015,20,23/05/2015,AK- ANCHORAGE,10,AK,18.64537876,0,11.11417553,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.909636442
22/08/2021,24/05/2015,30/05/2015,2015,21,30/05/2015,AK- ANCHORAGE,10,AK,15.43097668,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.935181652
22/08/2021,31/05/2015,06/06/2015,2015,22,06/06/2015,AK- ANCHORAGE,10,AK,18.03410721,0,11.04941632,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.917229746
22/08/2021,07/06/2015,13/06/2015,2015,23,13/06/2015,AK- ANCHORAGE,10,AK,19.45684291,0,12.96044386,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.9130466
22/08/2021,14/06/2015,20/06/2015,2015,24,20/06/2015,AK- ANCHORAGE,10,AK,18.04257206,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.905526512
22/08/2021,21/06/2015,27/06/2015,2015,25,27/06/2015,AK- ANCHORAGE,10,AK,18.80540134,0,11.09699239,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.928550007
22/08/2021,28/06/2015,04/07/2015,2015,26,04/07/2015,AK- ANCHORAGE,10,AK,18.05893435,0,11.07928125,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.914112451
22/08/2021,05/07/2015,11/07/2015,2015,27,11/07/2015,AK- ANCHORAGE,10,AK,19.89917647,0,10.38880167,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.885283802
22/08/2021,12/07/2015,18/07/2015,2015,28,18/07/2015,AK- ANCHORAGE,10,AK,17.38484803,0,10.64494369,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.874319764
22/08/2021,19/07/2015,25/07/2015,2015,29,25/07/2015,AK- ANCHORAGE,10,AK,17.71389731,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.931885541
22/08/2021,26/07/2015,01/08/2015,2015,30,01/08/2015,AK- ANCHORAGE,10,AK,16.98728019,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.904935155
22/08/2021,02/08/2015,08/08/2015,2015,31,08/08/2015,AK- ANCHORAGE,10,AK,16.29046888,0,,0,,0,,0,,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0.884412255
